date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:44	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%226ca7df68f786e1b871f4d466e5a31b9e-ssl-df%22	https://zainx.netlify.com/css/plugins/bootstrap.min.css	website/portfolio2/zainx.netlify.com/css/plugins/bootstrap.min.css	(from https://zainx.netlify.com/css/plugins.css)
21:20:45	16952/16952	---M-Z	200	added ('OK')	text/css	etag:%22b919cbcdbad3f0170d564915ff5159fe-ssl-df%22	https://zainx.netlify.com/css/plugins/animate.min.css	website/portfolio2/zainx.netlify.com/css/plugins/animate.min.css	(from https://zainx.netlify.com/css/plugins.css)
21:20:46	108722/108722	---M-Z	200	added ('OK')	text/css	etag:%22cc706bb6fe97ea3b8569874ac4036172-ssl-df%22	https://zainx.netlify.com/css/plugins/icofont.css	website/portfolio2/zainx.netlify.com/css/plugins/icofont.css	(from https://zainx.netlify.com/css/plugins.css)
21:20:47	34734/34734	---M-Z	200	added ('OK')	text/css	etag:%22567ae49e7dcfc8b940c06794331f2a50-ssl-df%22	https://zainx.netlify.com/css/plugins/fontawesome-all.min.css	website/portfolio2/zainx.netlify.com/css/plugins/fontawesome-all.min.css	(from https://zainx.netlify.com/css/plugins.css)
21:20:48	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%2284f63e93cd9e99f1442ee1c70e881200-ssl-df%22	https://zainx.netlify.com/css/plugins/magnific-popup.css	website/portfolio2/zainx.netlify.com/css/plugins/magnific-popup.css	(from https://zainx.netlify.com/css/plugins.css)
21:20:49	13937/13937	---M-Z	200	added ('OK')	text/css	etag:%224d01fdf498399a890108f7020ff00e43-ssl-df%22	https://zainx.netlify.com/css/plugins/helper.css	website/portfolio2/zainx.netlify.com/css/plugins/helper.css	(from https://zainx.netlify.com/css/plugins.css)
21:20:53	1018620/1018620	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22a57faca9f637ce0e9462a30c62c2045d-ssl-df%22	https://zainx.netlify.com/fonts/icofont.ttf?v=1.0.0-beta	website/portfolio2/zainx.netlify.com/fonts/icofont7858.ttf	(from https://zainx.netlify.com/css/plugins/icofont.css)
21:20:53	1018784/1018784	---MCZ	200	added ('OK')	application/octet-stream	etag:%2257189a01208344f414206cb09e3a83c4-ssl-df%22	https://zainx.netlify.com/fonts/icofont.eot?v=1.0.0-beta	website/portfolio2/zainx.netlify.com/fonts/icofont7858.eot	(from https://zainx.netlify.com/css/plugins/icofont.css)
21:20:53	2785/2785	---MC-	404	error ('Not%20Found')	text/html	etag:1556801961-ssl	https://zainx.netlify.com/fonts/icofont.svg?v=1.0.0-beta	website/portfolio2/zainx.netlify.com/fonts/icofont.287858.delayed	(from https://zainx.netlify.com/css/plugins/icofont.css)
21:20:55	98620/98620	---M-Z	200	added ('OK')	application/octet-stream	etag:%227b9d10dfb228b9f63a0a7e944ab125ec-ssl-df%22	https://zainx.netlify.com/fonts/fa-brands-400.eot?	website/portfolio2/zainx.netlify.com/fonts/fa-brands-400d41d.eot	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:20:56	98620/98620	---MCZ	200	added ('OK')	application/octet-stream	etag:%227b9d10dfb228b9f63a0a7e944ab125ec-ssl-df%22	https://zainx.netlify.com/fonts/fa-brands-400.eot	website/portfolio2/zainx.netlify.com/fonts/fa-brands-400.eot	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:20:56	629908/629908	---MCZ	200	added ('OK')	application/font-woff	etag:%2255987c9cb2c18a27512125ac067b0cb7-ssl-df%22	https://zainx.netlify.com/fonts/icofont.woff?v=1.0.0-beta	website/portfolio2/zainx.netlify.com/fonts/icofont7858.woff	(from https://zainx.netlify.com/css/plugins/icofont.css)
21:20:56	54420/54420	---M--	200	added ('OK')	font/woff2	etag:%22bfceff11fac00017345d66f1ad2d1359-ssl%22	https://zainx.netlify.com/fonts/fa-brands-400.woff2	website/portfolio2/zainx.netlify.com/fonts/fa-brands-400.woff2	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:20:58	63712/63712	---MCZ	200	added ('OK')	application/font-woff	etag:%229c17fcc499bfaa0e8277ab673ed7edf0-ssl-df%22	https://zainx.netlify.com/fonts/fa-brands-400.woff	website/portfolio2/zainx.netlify.com/fonts/fa-brands-400.woff	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:20:59	98384/98384	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%22c8fe19160a814c7874b3e4b96c002bea-ssl-df%22	https://zainx.netlify.com/fonts/fa-brands-400.ttf	website/portfolio2/zainx.netlify.com/fonts/fa-brands-400.ttf	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:20:59	2785/2785	---MC-	404	error ('Not%20Found')	text/html	etag:1556801961-ssl	https://zainx.netlify.com/fonts/fa-brands-400.svg	website/portfolio2/zainx.netlify.com/fonts/fa-brands-400.svg	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:01	31156/31156	---M-Z	200	added ('OK')	application/octet-stream	etag:%226cf12bd278f711daf5fd9d876a6d77b4-ssl-df%22	https://zainx.netlify.com/fonts/fa-regular-400.eot?	website/portfolio2/zainx.netlify.com/fonts/fa-regular-400d41d.eot	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:02	31156/31156	---MCZ	200	added ('OK')	application/octet-stream	etag:%226cf12bd278f711daf5fd9d876a6d77b4-ssl-df%22	https://zainx.netlify.com/fonts/fa-regular-400.eot	website/portfolio2/zainx.netlify.com/fonts/fa-regular-400.eot	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:02	12220/12220	---M--	200	added ('OK')	font/woff2	etag:%228f6c0ec3d38f55efcf5acaf11cf545af-ssl%22	https://zainx.netlify.com/fonts/fa-regular-400.woff2	website/portfolio2/zainx.netlify.com/fonts/fa-regular-400.woff2	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:04	14712/14712	---MCZ	200	added ('OK')	application/font-woff	etag:%22a2ce2be8e3a3d306e845c11c8d103c37-ssl-df%22	https://zainx.netlify.com/fonts/fa-regular-400.woff	website/portfolio2/zainx.netlify.com/fonts/fa-regular-400.woff	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:04	30928/30928	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%229e04cd8dfdd44c3eb70bd919e3fe5cdf-ssl-df%22	https://zainx.netlify.com/fonts/fa-regular-400.ttf	website/portfolio2/zainx.netlify.com/fonts/fa-regular-400.ttf	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:05	2785/2785	---MC-	404	error ('Not%20Found')	text/html	etag:1556801961-ssl	https://zainx.netlify.com/fonts/fa-regular-400.svg	website/portfolio2/zainx.netlify.com/fonts/fa-regular-400.svg	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:07	102152/102152	---MCZ	200	added ('OK')	application/octet-stream	etag:%227c7188a2acc917c705fc2eb89843f700-ssl-df%22	https://zainx.netlify.com/fonts/fa-solid-900.eot	website/portfolio2/zainx.netlify.com/fonts/fa-solid-900.eot	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:07	102152/102152	---M-Z	200	added ('OK')	application/octet-stream	etag:%227c7188a2acc917c705fc2eb89843f700-ssl-df%22	https://zainx.netlify.com/fonts/fa-solid-900.eot?	website/portfolio2/zainx.netlify.com/fonts/fa-solid-900d41d.eot	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:08	38784/38784	---M--	200	added ('OK')	font/woff2	etag:%22d2219f38f5be8a3cc61db18cd7ed053d-ssl%22	https://zainx.netlify.com/fonts/fa-solid-900.woff2	website/portfolio2/zainx.netlify.com/fonts/fa-solid-900.woff2	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:10	48704/48704	---MCZ	200	added ('OK')	application/font-woff	etag:%2289bb65ecb0377d3604ee994d6ec5f424-ssl-df%22	https://zainx.netlify.com/fonts/fa-solid-900.woff	website/portfolio2/zainx.netlify.com/fonts/fa-solid-900.woff	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:11	101932/101932	---MCZ	200	added ('OK')	application/x-font-ttf	etag:%2234df33b0a5815126e041abb298082867-ssl-df%22	https://zainx.netlify.com/fonts/fa-solid-900.ttf	website/portfolio2/zainx.netlify.com/fonts/fa-solid-900.ttf	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
21:21:11	2785/2785	---MC-	404	error ('Not%20Found')	text/html	etag:1556801961-ssl	https://zainx.netlify.com/fonts/fa-solid-900.svg	website/portfolio2/zainx.netlify.com/fonts/fa-solid-900.svg	(from https://zainx.netlify.com/css/plugins/fontawesome-all.min.css)
